date,bitcoin,ethereum,solana
2026-04-30,76204.93,2254.14,82.81
2026-05-01,78127.08,2291.8,83.7
2026-05-02,78815.1,2324.63,84.43
2026-05-03,79161.79,2344.43,84.67
2026-05-04,80062.99,2354.3,84.19
2026-05-05,81130.27,2367.59,86.58
2026-05-06,81347.16,2347.95,89.09
2026-05-07,79896.78,2286.51,88.09
2026-05-08,80268.79,2311.03,92.28
2026-05-09,80747.69,2330.25,93.31
2026-05-10,82024.58,2373.07,96.24
2026-05-11,81797.66,2340.88,97.56
2026-05-12,80655.11,2283.04,94.67
2026-05-13,79400.17,2259.09,91.15
2026-05-14,81399.22,2296.15,92.57
2026-05-15,79065.68,2223.07,89.27
2026-05-16,78161.07,2179.9,86.5
2026-05-17,77940.06,2178.66,86.16
2026-05-18,77016.44,2134.55,85.39
2026-05-19,76636.54,2104.37,84.0
2026-05-20,77429.4,2126.76,85.96
2026-05-21,77553.31,2129.7,87.1
2026-05-22,75666.94,2071.35,84.88
2026-05-23,76500.57,2114.45,85.7
2026-05-24,76765.55,2091.71,84.96
2026-05-25,77072.74,2103.18,84.75
2026-05-26,75714.11,2068.11,83.63
2026-05-27,74297.6,2022.66,82.32
2026-05-28,73427.05,2004.69,81.99
2026-05-29,73398.08,2011.32,81.88
2026-05-30,73795.74,2021.86,82.54
2026-05-31,73890.13,2010.97,82.45
2026-06-01,71338.43,2002.21,81.32
2026-06-02,66366.72,1865.96,73.59
2026-06-03,64807.54,1825.66,72.06
2026-06-04,63679.44,1767.11,68.42
2026-06-05,61598.52,1597.43,64.4
2026-06-06,60576.61,1558.68,61.79
2026-06-07,62881.56,1674.09,65.85
2026-06-08,63350.09,1702.07,67.15
2026-06-09,61674.0,1639.22,64.85
2026-06-10,61349.92,1615.75,62.75
2026-06-11,63458.28,1675.75,66.85
2026-06-12,63480.19,1662.0,66.61
2026-06-13,64438.39,1682.34,68.88
2026-06-14,65360.48,1721.43,70.37
2026-06-15,66178.57,1789.01,73.74
2026-06-16,65725.58,1794.93,73.76
2026-06-17,64260.31,1739.79,71.66
2026-06-18,62823.09,1705.66,69.47
2026-06-19,63258.03,1706.92,69.34
2026-06-20,64232.33,1742.65,73.52
2026-06-21,63742.54,1716.83,72.99
2026-06-22,63896.99,1722.01,72.01
2026-06-23,62524.18,1662.96,69.48
2026-06-24,60791.16,1613.63,67.74
2026-06-25,59775.39,1568.57,67.07
2026-06-26,59972.04,1575.5,71.73
2026-06-27,60156.1,1577.78,70.98
2026-06-28,59009.78,1555.08,70.13
2026-06-29,60281.35,1611.82,75.17
2026-06-30,58531.71,1566.02,73.33
2026-07-01,60414.94,1620.57,77.78
2026-07-02,61420.89,1695.67,80.61
2026-07-03,62528.15,1756.2,82.29
2026-07-04,63131.96,1784.23,81.85
2026-07-05,63668.21,1788.53,81.76
2026-07-06,64196.23,1805.01,82.24
2026-07-07,63498.44,1774.17,80.82
2026-07-08,62279.44,1739.61,77.47
2026-07-09,63178.57,1746.85,78.05
2026-07-10,64072.77,1794.19,78.11
2026-07-11,64167.39,1812.6,77.84
2026-07-12,63852.36,1803.73,76.72
2026-07-13,61864.28,1756.75,74.44
2026-07-14,64827.81,1881.04,77.59
2026-07-15,64831.35,1921.91,77.44
2026-07-16,63923.91,1868.2,75.28
2026-07-17,63944.35,1839.2,74.99
2026-07-18,64769.14,1863.0,75.52
2026-07-19,64628.11,1868.72,76.01
2026-07-20,65095.61,1894.02,77.4
2026-07-21,66264.36,1919.78,77.94
2026-07-22,66004.18,1937.12,77.96
2026-07-23,65155.99,1882.8,76.16
2026-07-24,64105.63,1858.58,73.9
2026-07-25,64358.53,1874.9,74.44
2026-07-26,65378.24,1949.27,76.62
2026-07-27,63688.83,1889.59,73.94
2026-07-28,63687.66,1908.71,73.32
2026-07-29,64276.27,1898.72,73.49
