Date,Close/Last,Volume,Open,High,Low
02/07/2025,$227.63,39707220,$232.60,$234.00,$227.26
02/06/2025,$233.22,29925350,$231.285,$233.80,$230.425
02/05/2025,$232.47,39664990,$228.53,$232.67,$228.27
02/04/2025,$232.80,45067300,$227.25,$233.13,$226.65
02/03/2025,$228.01,73063300,$229.99,$231.83,$225.70
01/31/2025,$236.00,101075100,$247.19,$247.19,$233.44
01/30/2025,$237.59,55658280,$238.665,$240.79,$237.21
01/29/2025,$239.36,45486100,$234.12,$239.855,$234.01
01/28/2025,$238.26,75707570,$230.85,$240.19,$230.81
01/27/2025,$229.86,94863420,$224.02,$232.15,$223.98
01/24/2025,$222.78,54697910,$224.78,$225.63,$221.41
01/23/2025,$223.66,60234760,$224.74,$227.03,$222.30
01/22/2025,$223.83,64126500,$219.79,$224.12,$219.79
01/21/2025,$222.64,98070430,$224.00,$224.42,$219.38
01/17/2025,$229.98,68488300,$232.115,$232.29,$228.48
01/16/2025,$228.26,71759050,$237.35,$238.01,$228.03
01/15/2025,$237.87,39831970,$234.635,$238.96,$234.43
01/14/2025,$233.28,39435290,$234.75,$236.12,$232.472
01/13/2025,$234.40,49630730,$233.53,$234.67,$229.72
01/10/2025,$236.85,61710860,$240.01,$240.16,$233.00
